device_use,devicetype,latitude,longitude,location_parameters,device_status,network,Cost
Parking,Turbo,-38.1495576,144.3603029,2P Parrallel,Active,LoraWAN (TTN),48233
Parking,Turbo,-38.1510081,144.3579266,2P Parrallel,Active,LoraWAN (TTN),76198
Parking,Turbo,-38.1512738,144.3581845,2P Parrallel,Active,LoraWAN (TTN),72164
Parking,Turbo,-38.1472291,144.3567211,2P Parrallel,Active,LoraWAN (TTN),92666
Parking,Turbo,-38.1483292,144.3648312,2P Parrallel,Active,LoraWAN (TTN),99633
Wifi Device Counter,nCounter,-38.1430798,144.361831,unknown,Active,LoraWAN (TTN),6968
Wifi Device Counter,nCounter,-38.1463294,144.367355,unknown,Inactive,LoraWAN (TTN),85987
Wifi Device Counter,nCounter,-38.1479277,144.3588385,unknown,Active,LoraWAN (TTN),74339
Weather Station,Atmos,-38.1861465,144.3938752,unknown,Active,Not LoraWAN,38148
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,85761
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,81345
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,88561
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,32217
Wifi Device Counter,nCounter,-38.1494367,144.3774611,unknown,Active,LoraWAN (TTN),36647
Wifi Device Counter,nCounter,-38.1446587,144.3592925,unknown,Assigned,LoraWAN (TTN),10167
Indoor Temp Sensor,Elsys.SE ESM5K,-38.144711,144.360452,unknown,unknown,LoraWAN (TTN),54556
Indoor Temp Sensor,Elsys.SE ESM5K,-38.1468119,144.3588074,unknown,unknown,LoraWAN (TTN),64229
Wifi Device Counter,nCounter,-38.1493122,144.3770579,unknown,Active,LoraWAN (TTN),23480
Wifi Device Counter,nCounter,-38.1447631,144.3595969,unknown,Active,LoraWAN (TTN),23329
Wifi Device Counter,nCounter,-38.1496014,144.3608612,unknown,unknown,LoraWAN (TTN),58030
Wifi Device Counter,nCounter,-38.1489155,144.3584489,unknown,Active,LoraWAN (TTN),99980
Wifi Device Counter,nCounter,-38.1474393,144.3576924,unknown,Active,LoraWAN (TTN),45930
Wifi Device Counter,Cisco Meraki,-38.148573,144.361279,unknown,unknown,Not LoraWAN,77939
Parking,Turbo,-38.1521818,144.3642471,2P Diagonal,Active,LoraWAN (TTN),35137
Parking,Turbo,-38.1525202,144.3632244,2P Parrallel,Active,LoraWAN (TTN),90099
Parking,Turbo,-38.1485123,144.3611459,2P Parrallel,Active,LoraWAN (TTN),44733
Parking,Turbo,-38.1495716,144.3610219,2P Parrallel,Active,LoraWAN (TTN),93479
Parking,Turbo,-38.1498852,144.3614617,2P Parrallel,Active,LoraWAN (TTN),68253
Parking,Turbo,-38.1510205,144.3573064,2P Parrallel,Active,LoraWAN (TTN),11069
Parking,Turbo,-38.1483584,144.3646351,2P Median,Active,LoraWAN (TTN),89941
Parking,Turbo,-38.1432402,144.3611037,3P Diagonal,Active,LoraWAN (TTN),16705
Parking,Turbo,-38.1514218,144.364608,2P Diagonal,To be installed,LoraWAN (TTN),85338
Wifi Device Counter,nCounter,-38.1467049,144.3683997,unknown,Active,LoraWAN (TTN),46256
Wifi Device Counter,nCounter,-38.1475187,144.3737408,unknown,Inactive,LoraWAN (TTN),45334
Wifi Device Counter,nCounter,-38.1861465,144.3938752,unknown,Active,LoraWAN (TTN),12654
Wifi Device Counter,nCounter,-38.1220226,144.3591414,unknown,Active,LoraWAN (TTN),71705
Wifi Device Counter,nCounter,-38.1456638,144.3587789,unknown,Assigned,LoraWAN (TTN),79393
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,46319
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,52662
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,87949
Wifi Device Counter,nCounter,-38.1424258,144.360149,unknown,Inactive,LoraWAN (TTN),21638
Wifi Device Counter,nCounter,-38.1439919,144.3637687,unknown,Inactive,LoraWAN (TTN),18475
Wifi Device Counter,nCounter,-38.1454818,144.3657981,unknown,Inactive,LoraWAN (TTN),33130
Wifi Device Counter,nCounter,-38.1469338,144.3711246,unknown,Active,LoraWAN (TTN),14294
Wifi Device Counter,nCounter,-38.1746141,144.3430678,unknown,Active,LoraWAN (TTN),57059
Wifi Device Counter,nCounter,-38.1274401,144.3549584,unknown,Active,LoraWAN (TTN),53356
Weather Station,Atmos,-38.1220226,144.3591414,unknown,Active,LoraWAN (TTN),37609
Weather Station,Atmos,-38.1456638,144.3587789,unknown,Active,LoraWAN (TTN),36156
Weather Station,Atmos,-38.1274401,144.3549584,unknown,Inactive,Not LoraWAN,41901
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,92273
Wifi Device Counter,nCounter,-38.1687756,144.3512498,unknown,Active,Not LoraWAN,66762
Wifi Device Counter,Cisco Meraki,-38.143849,144.362906,unknown,unknown,Not LoraWAN,7415
Wifi Device Counter,nCounter,-38.1458692,144.3581138,unknown,Active,Not LoraWAN,41111
Wifi Device Counter,nCounter,-38.1496014,144.3608612,unknown,unknown,Not LoraWAN,41588
Wifi Device Counter,nCounter,-38.1470072,144.3565397,unknown,unknown,Not LoraWAN,73473
Wifi Device Counter,nCounter,-38.14762,144.3622749,unknown,Active,Not LoraWAN,88598
Parking,Turbo,-38.148484,144.362902,2P Parrallel,Active,LoraWAN (TTN),53564
Parking,Turbo,-38.1484674,144.3631551,2P Parrallel,Active,LoraWAN (TTN),79872
Parking,Turbo,-38.1515048,144.3643487,2P Diagonal,Active,LoraWAN (TTN),20468
Parking,Turbo,-38.1495576,144.3603029,2P Parrallel,Active,LoraWAN (TTN),93555
Parking,Turbo,-38.1510081,144.3579266,2P Parrallel,Active,LoraWAN (TTN),41413
Parking,Turbo,-38.1512738,144.3581845,2P Parrallel,Active,LoraWAN (TTN),31750
Parking,Turbo,-38.1472291,144.3567211,2P Parrallel,Active,LoraWAN (TTN),91859
Parking,Turbo,-38.1483292,144.3648312,2P Parrallel,Active,LoraWAN (TTN),39344
Wifi Device Counter,nCounter,-38.1430798,144.361831,unknown,Active,LoraWAN (TTN),56703
Wifi Device Counter,nCounter,-38.1463294,144.367355,unknown,Inactive,LoraWAN (TTN),60582
Wifi Device Counter,nCounter,-38.1479277,144.3588385,unknown,Active,LoraWAN (TTN),65640
Weather Station,Atmos,-38.1861465,144.3938752,unknown,Active,Not LoraWAN,36071
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,89864
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,93987
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,84197
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,23910
Wifi Device Counter,nCounter,-38.1494367,144.3774611,unknown,Active,LoraWAN (TTN),21079
